date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m
2022-06-01,IT,3.635,1.446,2.189,0.1519999999999997,0.12264719048283679
2022-07-01,IT,3.359,1.082,2.277,0.08800000000000008,0.1343478073261087
2022-08-01,IT,3.297,1.033,2.2640000000000002,-0.0129999999999999,0.08318854087753379
2022-09-01,IT,4.138,1.796,2.3419999999999996,0.0779999999999994,0.05565069631190422
2022-10-01,IT,4.532,2.186,2.346,0.004000000000000448,0.04838388161360935
2022-11-01,IT,4.243,2.066,2.1770000000000005,-0.1689999999999996,0.12676355943251083
2022-12-01,IT,4.257,2.085,2.1719999999999997,-0.005000000000000782,0.09738754198219136
2023-01-01,IT,4.243,2.192,2.051,-0.12099999999999955,0.08431686268673089
2023-02-01,IT,4.27,2.37,1.8999999999999995,-0.1510000000000007,0.07710598766200394
2023-03-01,IT,4.24,2.383,1.8570000000000002,-0.04299999999999926,0.05574943945906435
2023-04-01,IT,4.234,2.359,1.875,0.017999999999999794,0.08558231904624461
2023-05-01,IT,4.313,2.341,1.9719999999999995,0.09699999999999953,0.0701925922017397
2023-06-01,IT,4.074,2.377,1.697,-0.27499999999999947,0.19599064603529665
2023-07-01,IT,4.157,2.457,1.7000000000000002,0.0030000000000001137,0.1934356051334215
2023-08-01,IT,4.221,2.545,1.6760000000000002,-0.02400000000000002,0.15330470747284006
2023-09-01,IT,4.513,2.66,1.8529999999999998,0.1769999999999996,0.10909170454255342
2023-10-01,IT,4.885,2.823,2.062,0.20900000000000007,0.1263025468204547
2023-11-01,IT,4.428,2.602,1.826,-0.23599999999999977,0.2481995165184649
2023-12-01,IT,3.821,2.101,1.7200000000000002,-0.10599999999999987,0.2288194339065918
2024-01-01,IT,3.811,2.175,1.6360000000000001,-0.08400000000000007,0.08214621111165014
2024-02-01,IT,3.872,2.331,1.541,-0.0950000000000002,0.010999999999991702
2024-03-01,IT,3.696,2.349,1.347,-0.19399999999999995,0.060583276020145516
2024-04-01,IT,3.856,2.446,1.4099999999999997,0.06299999999999972,0.12962381468439013
